Target,Train RMSE,Test RMSE,Test MAE,Test R2
pm2_5,1.0592145720521698e-14,0.7751643585098801,0.65186855269841,0.0
pm10,2.4153808499215685e-14,1.8008517761624518,1.7203389163453622,0.0
co2,0.0,0.0,0.0,1.0
tvoc,0.0,0.0,0.0,1.0
temperature,3.1331989578411767e-15,0.18039641560559733,0.13636829524412342,-12.017146705339513
humidity,4.1023203976182695e-15,0.5312837829325612,0.37567436564606993,-3.5161993281141237
